,timestamp,hour,day_of_week,day,month,year,is_weekend
233,2024-01-10 17:00:00+00:00,17,2,10,1,2024,False
234,2024-01-10 18:00:00+00:00,18,2,10,1,2024,False
235,2024-01-10 19:00:00+00:00,19,2,10,1,2024,False
236,2024-01-10 20:00:00+00:00,20,2,10,1,2024,False
237,2024-01-10 21:00:00+00:00,21,2,10,1,2024,False
238,2024-01-10 22:00:00+00:00,22,2,10,1,2024,False
239,2024-01-10 23:00:00+00:00,23,2,10,1,2024,False
240,2024-01-11 00:00:00+00:00,0,3,11,1,2024,False
241,2024-01-11 01:00:00+00:00,1,3,11,1,2024,False
242,2024-01-11 02:00:00+00:00,2,3,11,1,2024,False
243,2024-01-11 03:00:00+00:00,3,3,11,1,2024,False
244,2024-01-11 04:00:00+00:00,4,3,11,1,2024,False
245,2024-01-11 05:00:00+00:00,5,3,11,1,2024,False
246,2024-01-11 06:00:00+00:00,6,3,11,1,2024,False
247,2024-01-11 07:00:00+00:00,7,3,11,1,2024,False
248,2024-01-11 08:00:00+00:00,8,3,11,1,2024,False
249,2024-01-11 09:00:00+00:00,9,3,11,1,2024,False
250,2024-01-11 10:00:00+00:00,10,3,11,1,2024,False
251,2024-01-11 11:00:00+00:00,11,3,11,1,2024,False
252,2024-01-11 12:00:00+00:00,12,3,11,1,2024,False
253,2024-01-11 13:00:00+00:00,13,3,11,1,2024,False
254,2024-01-11 14:00:00+00:00,14,3,11,1,2024,False
255,2024-01-11 15:00:00+00:00,15,3,11,1,2024,False
256,2024-01-11 16:00:00+00:00,16,3,11,1,2024,False
257,2024-01-11 17:00:00+00:00,17,3,11,1,2024,False
258,2024-01-11 18:00:00+00:00,18,3,11,1,2024,False
259,2024-01-11 19:00:00+00:00,19,3,11,1,2024,False
260,2024-01-11 20:00:00+00:00,20,3,11,1,2024,False
261,2024-01-11 21:00:00+00:00,21,3,11,1,2024,False
262,2024-01-11 22:00:00+00:00,22,3,11,1,2024,False
263,2024-01-11 23:00:00+00:00,23,3,11,1,2024,False
264,2024-01-12 00:00:00+00:00,0,4,12,1,2024,False
265,2024-01-12 01:00:00+00:00,1,4,12,1,2024,False
266,2024-01-12 02:00:00+00:00,2,4,12,1,2024,False
267,2024-01-12 03:00:00+00:00,3,4,12,1,2024,False
268,2024-01-12 04:00:00+00:00,4,4,12,1,2024,False
269,2024-01-12 05:00:00+00:00,5,4,12,1,2024,False
270,2024-01-12 06:00:00+00:00,6,4,12,1,2024,False
271,2024-01-12 07:00:00+00:00,7,4,12,1,2024,False
272,2024-01-12 08:00:00+00:00,8,4,12,1,2024,False
273,2024-01-12 09:00:00+00:00,9,4,12,1,2024,False
274,2024-01-12 10:00:00+00:00,10,4,12,1,2024,False
275,2024-01-12 11:00:00+00:00,11,4,12,1,2024,False
276,2024-01-12 12:00:00+00:00,12,4,12,1,2024,False
277,2024-01-12 13:00:00+00:00,13,4,12,1,2024,False
278,2024-01-12 14:00:00+00:00,14,4,12,1,2024,False
279,2024-01-12 15:00:00+00:00,15,4,12,1,2024,False
280,2024-01-12 16:00:00+00:00,16,4,12,1,2024,False
281,2024-01-12 17:00:00+00:00,17,4,12,1,2024,False
282,2024-01-12 18:00:00+00:00,18,4,12,1,2024,False
283,2024-01-12 19:00:00+00:00,19,4,12,1,2024,False
284,2024-01-12 20:00:00+00:00,20,4,12,1,2024,False
285,2024-01-12 21:00:00+00:00,21,4,12,1,2024,False
286,2024-01-12 22:00:00+00:00,22,4,12,1,2024,False
287,2024-01-12 23:00:00+00:00,23,4,12,1,2024,False
288,2024-01-13 00:00:00+00:00,0,5,13,1,2024,True
289,2024-01-13 01:00:00+00:00,1,5,13,1,2024,True
290,2024-01-13 02:00:00+00:00,2,5,13,1,2024,True
291,2024-01-13 03:00:00+00:00,3,5,13,1,2024,True
292,2024-01-13 04:00:00+00:00,4,5,13,1,2024,True
293,2024-01-13 05:00:00+00:00,5,5,13,1,2024,True
294,2024-01-13 06:00:00+00:00,6,5,13,1,2024,True
295,2024-01-13 07:00:00+00:00,7,5,13,1,2024,True
296,2024-01-13 08:00:00+00:00,8,5,13,1,2024,True
297,2024-01-13 09:00:00+00:00,9,5,13,1,2024,True
298,2024-01-13 10:00:00+00:00,10,5,13,1,2024,True
299,2024-01-13 11:00:00+00:00,11,5,13,1,2024,True
300,2024-01-13 12:00:00+00:00,12,5,13,1,2024,True
301,2024-01-13 13:00:00+00:00,13,5,13,1,2024,True
302,2024-01-13 14:00:00+00:00,14,5,13,1,2024,True
303,2024-01-13 15:00:00+00:00,15,5,13,1,2024,True
304,2024-01-13 16:00:00+00:00,16,5,13,1,2024,True
305,2024-01-13 17:00:00+00:00,17,5,13,1,2024,True
306,2024-01-13 18:00:00+00:00,18,5,13,1,2024,True
307,2024-01-13 19:00:00+00:00,19,5,13,1,2024,True
308,2024-01-13 20:00:00+00:00,20,5,13,1,2024,True
309,2024-01-13 21:00:00+00:00,21,5,13,1,2024,True
310,2024-01-13 22:00:00+00:00,22,5,13,1,2024,True
311,2024-01-13 23:00:00+00:00,23,5,13,1,2024,True
312,2024-01-14 00:00:00+00:00,0,6,14,1,2024,True
313,2024-01-14 01:00:00+00:00,1,6,14,1,2024,True
314,2024-01-14 02:00:00+00:00,2,6,14,1,2024,True
315,2024-01-14 03:00:00+00:00,3,6,14,1,2024,True
316,2024-01-14 04:00:00+00:00,4,6,14,1,2024,True
317,2024-01-14 05:00:00+00:00,5,6,14,1,2024,True
318,2024-01-14 06:00:00+00:00,6,6,14,1,2024,True
319,2024-01-14 07:00:00+00:00,7,6,14,1,2024,True
320,2024-01-14 08:00:00+00:00,8,6,14,1,2024,True
321,2024-01-14 09:00:00+00:00,9,6,14,1,2024,True
322,2024-01-14 10:00:00+00:00,10,6,14,1,2024,True
323,2024-01-14 11:00:00+00:00,11,6,14,1,2024,True
324,2024-01-14 12:00:00+00:00,12,6,14,1,2024,True
325,2024-01-14 13:00:00+00:00,13,6,14,1,2024,True
326,2024-01-14 14:00:00+00:00,14,6,14,1,2024,True
327,2024-01-14 15:00:00+00:00,15,6,14,1,2024,True
328,2024-01-14 16:00:00+00:00,16,6,14,1,2024,True
329,2024-01-14 17:00:00+00:00,17,6,14,1,2024,True
330,2024-01-14 18:00:00+00:00,18,6,14,1,2024,True
331,2024-01-14 19:00:00+00:00,19,6,14,1,2024,True
332,2024-01-14 20:00:00+00:00,20,6,14,1,2024,True
333,2024-01-14 21:00:00+00:00,21,6,14,1,2024,True
334,2024-01-14 22:00:00+00:00,22,6,14,1,2024,True
335,2024-01-14 23:00:00+00:00,23,6,14,1,2024,True
336,2024-01-15 00:00:00+00:00,0,0,15,1,2024,False
337,2024-01-15 01:00:00+00:00,1,0,15,1,2024,False
338,2024-01-15 02:00:00+00:00,2,0,15,1,2024,False
339,2024-01-15 03:00:00+00:00,3,0,15,1,2024,False
340,2024-01-15 04:00:00+00:00,4,0,15,1,2024,False
341,2024-01-15 05:00:00+00:00,5,0,15,1,2024,False
342,2024-01-15 06:00:00+00:00,6,0,15,1,2024,False
343,2024-01-15 07:00:00+00:00,7,0,15,1,2024,False
344,2024-01-15 08:00:00+00:00,8,0,15,1,2024,False
345,2024-01-15 09:00:00+00:00,9,0,15,1,2024,False
346,2024-01-15 10:00:00+00:00,10,0,15,1,2024,False
347,2024-01-15 11:00:00+00:00,11,0,15,1,2024,False
348,2024-01-15 12:00:00+00:00,12,0,15,1,2024,False
349,2024-01-15 13:00:00+00:00,13,0,15,1,2024,False
350,2024-01-15 14:00:00+00:00,14,0,15,1,2024,False
351,2024-01-15 15:00:00+00:00,15,0,15,1,2024,False
352,2024-01-15 16:00:00+00:00,16,0,15,1,2024,False
353,2024-01-15 17:00:00+00:00,17,0,15,1,2024,False
354,2024-01-15 18:00:00+00:00,18,0,15,1,2024,False
355,2024-01-15 19:00:00+00:00,19,0,15,1,2024,False
356,2024-01-15 20:00:00+00:00,20,0,15,1,2024,False
357,2024-01-15 21:00:00+00:00,21,0,15,1,2024,False
358,2024-01-15 22:00:00+00:00,22,0,15,1,2024,False
359,2024-01-15 23:00:00+00:00,23,0,15,1,2024,False
360,2024-01-16 00:00:00+00:00,0,1,16,1,2024,False
361,2024-01-16 01:00:00+00:00,1,1,16,1,2024,False
362,2024-01-16 02:00:00+00:00,2,1,16,1,2024,False
363,2024-01-16 03:00:00+00:00,3,1,16,1,2024,False
364,2024-01-16 04:00:00+00:00,4,1,16,1,2024,False
365,2024-01-16 05:00:00+00:00,5,1,16,1,2024,False
366,2024-01-16 06:00:00+00:00,6,1,16,1,2024,False
367,2024-01-16 07:00:00+00:00,7,1,16,1,2024,False
368,2024-01-16 08:00:00+00:00,8,1,16,1,2024,False
369,2024-01-16 09:00:00+00:00,9,1,16,1,2024,False
370,2024-01-16 10:00:00+00:00,10,1,16,1,2024,False
371,2024-01-16 11:00:00+00:00,11,1,16,1,2024,False
372,2024-01-16 12:00:00+00:00,12,1,16,1,2024,False
373,2024-01-16 13:00:00+00:00,13,1,16,1,2024,False
