,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-05 17:30:00+01:00,20150.95,0.0
2024-01-05 17:45:00+01:00,20091.24,0.0
2024-01-05 18:00:00+01:00,20031.8,0.0
2024-01-05 18:15:00+01:00,20142.27,0.0
2024-01-05 18:30:00+01:00,20221.97,0.0
2024-01-05 18:45:00+01:00,20259.47,0.0
2024-01-05 19:00:00+01:00,20264.21,0.0
2024-01-05 19:15:00+01:00,20115.85,0.0
2024-01-05 19:30:00+01:00,20143.42,0.0
2024-01-05 19:45:00+01:00,19855.59,0.0
2024-01-05 20:00:00+01:00,19586.58,0.0
2024-01-05 20:15:00+01:00,19258.79,0.0
2024-01-05 20:30:00+01:00,19088.85,0.0
2024-01-05 20:45:00+01:00,18932.05,0.0
2024-01-05 21:00:00+01:00,18656.31,0.0
2024-01-05 21:15:00+01:00,18339.8,0.0
2024-01-05 21:30:00+01:00,17998.8,0.0
2024-01-05 21:45:00+01:00,17813.96,0.0
2024-01-05 22:00:00+01:00,17036.27,0.0
2024-01-05 22:15:00+01:00,16756.32,0.0
2024-01-05 22:30:00+01:00,16449.06,0.0
2024-01-05 22:45:00+01:00,16050.13,0.0
2024-01-05 23:00:00+01:00,15589.03,0.0
2024-01-05 23:15:00+01:00,15174.39,0.0
2024-01-05 23:30:00+01:00,14738.03,0.0
2024-01-05 23:45:00+01:00,14294.02,0.0
2024-01-06 00:00:00+01:00,14019.57,0.0
2024-01-06 00:15:00+01:00,13684.44,0.0
2024-01-06 00:30:00+01:00,13208.38,0.0
2024-01-06 00:45:00+01:00,12856.56,0.0
2024-01-06 01:00:00+01:00,12505.56,0.0
2024-01-06 01:15:00+01:00,12152.98,0.0
2024-01-06 01:30:00+01:00,11974.51,0.0
2024-01-06 01:45:00+01:00,11839.05,0.0
2024-01-06 02:00:00+01:00,11629.96,0.0
2024-01-06 02:15:00+01:00,11463.52,0.0
2024-01-06 02:30:00+01:00,11354.1,0.0
2024-01-06 02:45:00+01:00,11183.37,0.0
2024-01-06 03:00:00+01:00,11106.31,0.0
2024-01-06 03:15:00+01:00,10945.77,0.0
2024-01-06 03:30:00+01:00,10875.32,0.0
2024-01-06 03:45:00+01:00,10767.26,0.0
2024-01-06 04:00:00+01:00,10706.2,0.0
2024-01-06 04:15:00+01:00,10626.94,0.0
2024-01-06 04:30:00+01:00,10542.15,0.0
2024-01-06 04:45:00+01:00,10396.05,0.0
2024-01-06 05:00:00+01:00,10319.4,0.0
2024-01-06 05:15:00+01:00,10139.42,0.0
2024-01-06 05:30:00+01:00,10006.98,0.0
2024-01-06 05:45:00+01:00,9999.73,0.0
2024-01-06 06:00:00+01:00,10207.61,0.0
2024-01-06 06:15:00+01:00,10150.71,0.0
2024-01-06 06:30:00+01:00,10123.86,0.0
2024-01-06 06:45:00+01:00,10120.76,0.0
2024-01-06 07:00:00+01:00,10087.87,0.0
2024-01-06 07:15:00+01:00,10057.43,0.0
2024-01-06 07:30:00+01:00,10006.34,0.0
2024-01-06 07:45:00+01:00,9917.98,0.0
2024-01-06 08:00:00+01:00,10007.75,0.0
2024-01-06 08:15:00+01:00,10121.85,0.0
2024-01-06 08:30:00+01:00,10196.34,0.0
2024-01-06 08:45:00+01:00,10290.15,0.0
2024-01-06 09:00:00+01:00,10357.57,0.0
2024-01-06 09:15:00+01:00,10399.51,0.0
2024-01-06 09:30:00+01:00,10336.47,0.0
2024-01-06 09:45:00+01:00,10286.78,0.0
2024-01-06 10:00:00+01:00,10219.06,0.0
2024-01-06 10:15:00+01:00,10055.52,0.0
2024-01-06 10:30:00+01:00,10001.24,0.0
2024-01-06 10:45:00+01:00,9926.7,0.0
2024-01-06 11:00:00+01:00,9841.51,0.0
2024-01-06 11:15:00+01:00,9916.92,0.0
2024-01-06 11:30:00+01:00,10008.02,0.0
2024-01-06 11:45:00+01:00,10108.57,0.0
2024-01-06 12:00:00+01:00,10137.13,0.0
2024-01-06 12:15:00+01:00,10061.08,0.0
2024-01-06 12:30:00+01:00,10069.45,0.0
2024-01-06 12:45:00+01:00,10104.76,0.0
2024-01-06 13:00:00+01:00,10123.52,0.0
2024-01-06 13:15:00+01:00,10097.14,0.0
2024-01-06 13:30:00+01:00,10022.13,0.0
