,Solar,Solar
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-03 18:45:00+01:00,3.22,0.0
2024-01-03 19:00:00+01:00,6.5,0.0
2024-01-03 19:15:00+01:00,3.61,0.0
2024-01-03 19:30:00+01:00,3.29,0.0
2024-01-03 19:45:00+01:00,2.7,0.0
2024-01-03 20:00:00+01:00,5.84,0.0
2024-01-03 20:15:00+01:00,2.54,0.0
2024-01-03 20:30:00+01:00,2.37,0.0
2024-01-03 20:45:00+01:00,2.41,0.0
2024-01-03 21:00:00+01:00,3.22,0.0
2024-01-03 21:15:00+01:00,2.51,0.0
2024-01-03 21:30:00+01:00,2.52,0.0
2024-01-03 21:45:00+01:00,2.48,0.0
2024-01-03 22:00:00+01:00,3.18,0.0
2024-01-03 22:15:00+01:00,3.21,0.0
2024-01-03 22:30:00+01:00,2.54,0.0
2024-01-03 22:45:00+01:00,2.61,0.0
2024-01-03 23:00:00+01:00,3.38,0.0
2024-01-03 23:15:00+01:00,3.4,0.0
2024-01-03 23:30:00+01:00,2.63,0.0
2024-01-03 23:45:00+01:00,2.59,0.0
2024-01-04 00:00:00+01:00,3.25,0.0
2024-01-04 00:15:00+01:00,3.31,0.0
2024-01-04 00:30:00+01:00,2.52,0.0
2024-01-04 00:45:00+01:00,2.52,0.0
2024-01-04 01:00:00+01:00,2.89,0.0
2024-01-04 01:15:00+01:00,2.59,0.0
2024-01-04 01:30:00+01:00,2.66,0.0
2024-01-04 01:45:00+01:00,2.61,0.0
2024-01-04 02:00:00+01:00,3.24,0.0
2024-01-04 02:15:00+01:00,3.27,0.0
2024-01-04 02:30:00+01:00,2.52,0.0
2024-01-04 02:45:00+01:00,2.57,0.0
2024-01-04 03:00:00+01:00,3.33,0.0
2024-01-04 03:15:00+01:00,2.59,0.0
2024-01-04 03:30:00+01:00,2.63,0.0
2024-01-04 03:45:00+01:00,2.64,0.0
2024-01-04 04:00:00+01:00,2.62,0.0
2024-01-04 04:15:00+01:00,2.72,0.0
2024-01-04 04:30:00+01:00,2.7,0.0
2024-01-04 04:45:00+01:00,3.42,0.0
2024-01-04 05:00:00+01:00,2.45,0.0
2024-01-04 05:15:00+01:00,2.51,0.0
2024-01-04 05:30:00+01:00,2.77,0.0
2024-01-04 05:45:00+01:00,3.54,0.0
2024-01-04 06:00:00+01:00,2.7,0.0
2024-01-04 06:15:00+01:00,2.77,0.0
2024-01-04 06:30:00+01:00,3.62,0.0
2024-01-04 06:45:00+01:00,4.14,0.0
2024-01-04 07:00:00+01:00,2.52,0.0
2024-01-04 07:15:00+01:00,2.63,0.0
2024-01-04 07:30:00+01:00,2.82,0.0
2024-01-04 07:45:00+01:00,3.35,0.0
2024-01-04 08:00:00+01:00,5.72,0.0
2024-01-04 08:15:00+01:00,29.87,0.0
2024-01-04 08:30:00+01:00,177.29,0.0
2024-01-04 08:45:00+01:00,450.75,0.0
2024-01-04 09:00:00+01:00,846.65,0.0
2024-01-04 09:15:00+01:00,1313.9,0.0
2024-01-04 09:30:00+01:00,1837.23,0.0
2024-01-04 09:45:00+01:00,2388.94,0.0
2024-01-04 10:00:00+01:00,2906.7,0.0
2024-01-04 10:15:00+01:00,3366.63,0.0
2024-01-04 10:30:00+01:00,3862.41,0.0
2024-01-04 10:45:00+01:00,4314.97,0.0
2024-01-04 11:00:00+01:00,4693.48,0.0
2024-01-04 11:15:00+01:00,4993.87,0.0
2024-01-04 11:30:00+01:00,5274.73,0.0
2024-01-04 11:45:00+01:00,5412.71,0.0
2024-01-04 12:00:00+01:00,5495.04,0.0
2024-01-04 12:15:00+01:00,5508.72,0.0
2024-01-04 12:30:00+01:00,5701.07,0.0
2024-01-04 12:45:00+01:00,5616.77,0.0
2024-01-04 13:00:00+01:00,5426.79,0.0
2024-01-04 13:15:00+01:00,5235.49,0.0
2024-01-04 13:30:00+01:00,5029.04,0.0
2024-01-04 13:45:00+01:00,4698.13,0.0
2024-01-04 14:00:00+01:00,4268.93,0.0
2024-01-04 14:15:00+01:00,3973.9,0.0
2024-01-04 14:30:00+01:00,3501.53,0.0
2024-01-04 14:45:00+01:00,2965.05,0.0
2024-01-04 15:00:00+01:00,2402.39,0.0
2024-01-04 15:15:00+01:00,1829.09,0.0
2024-01-04 15:30:00+01:00,1256.84,0.0
2024-01-04 15:45:00+01:00,691.97,0.0
2024-01-04 16:00:00+01:00,288.06,0.0
2024-01-04 16:15:00+01:00,77.14,0.0
2024-01-04 16:30:00+01:00,12.56,0.0
2024-01-04 16:45:00+01:00,8.96,0.0
2024-01-04 17:00:00+01:00,3.88,0.0
2024-01-04 17:15:00+01:00,3.87,0.0
2024-01-04 17:30:00+01:00,8.84,0.0
2024-01-04 17:45:00+01:00,13.53,0.0
2024-01-04 18:00:00+01:00,12.0,0.0
2024-01-04 18:15:00+01:00,10.77,0.0
2024-01-04 18:30:00+01:00,11.6,0.0
2024-01-04 18:45:00+01:00,10.78,0.0
2024-01-04 19:00:00+01:00,6.8,0.0
2024-01-04 19:15:00+01:00,2.86,0.0
2024-01-04 19:30:00+01:00,2.8,0.0
2024-01-04 19:45:00+01:00,3.51,0.0
2024-01-04 20:00:00+01:00,3.42,0.0
2024-01-04 20:15:00+01:00,2.77,0.0
2024-01-04 20:30:00+01:00,2.75,0.0
2024-01-04 20:45:00+01:00,2.77,0.0
2024-01-04 21:00:00+01:00,3.44,0.0
2024-01-04 21:15:00+01:00,2.73,0.0
2024-01-04 21:30:00+01:00,2.72,0.0
2024-01-04 21:45:00+01:00,2.76,0.0
2024-01-04 22:00:00+01:00,3.29,0.0
2024-01-04 22:15:00+01:00,2.5,0.0
2024-01-04 22:30:00+01:00,2.51,0.0
2024-01-04 22:45:00+01:00,2.51,0.0
2024-01-04 23:00:00+01:00,3.38,0.0
2024-01-04 23:15:00+01:00,3.37,0.0
2024-01-04 23:30:00+01:00,2.49,0.0
2024-01-04 23:45:00+01:00,2.48,0.0
2024-01-05 00:00:00+01:00,3.24,0.0
2024-01-05 00:15:00+01:00,3.42,0.0
2024-01-05 00:30:00+01:00,2.73,0.0
2024-01-05 00:45:00+01:00,2.68,0.0
2024-01-05 01:00:00+01:00,3.44,0.0
2024-01-05 01:15:00+01:00,2.68,0.0
2024-01-05 01:30:00+01:00,2.69,0.0
2024-01-05 01:45:00+01:00,2.79,0.0
2024-01-05 02:00:00+01:00,3.44,0.0
2024-01-05 02:15:00+01:00,2.69,0.0
2024-01-05 02:30:00+01:00,2.62,0.0
2024-01-05 02:45:00+01:00,2.55,0.0
2024-01-05 03:00:00+01:00,2.67,0.0
2024-01-05 03:15:00+01:00,2.75,0.0
2024-01-05 03:30:00+01:00,2.79,0.0
2024-01-05 03:45:00+01:00,2.87,0.0
2024-01-05 04:00:00+01:00,2.8,0.0
2024-01-05 04:15:00+01:00,2.84,0.0
2024-01-05 04:30:00+01:00,2.85,0.0
2024-01-05 04:45:00+01:00,2.84,0.0
2024-01-05 05:00:00+01:00,2.77,0.0
2024-01-05 05:15:00+01:00,2.75,0.0
2024-01-05 05:30:00+01:00,2.89,0.0
2024-01-05 05:45:00+01:00,3.5,0.0
2024-01-05 06:00:00+01:00,2.96,0.0
2024-01-05 06:15:00+01:00,3.02,0.0
2024-01-05 06:30:00+01:00,2.75,0.0
2024-01-05 06:45:00+01:00,2.59,0.0
2024-01-05 07:00:00+01:00,3.31,0.0
2024-01-05 07:15:00+01:00,2.58,0.0
2024-01-05 07:30:00+01:00,2.79,0.0
2024-01-05 07:45:00+01:00,3.7,0.0
2024-01-05 08:00:00+01:00,5.32,0.0
2024-01-05 08:15:00+01:00,48.33,0.0
2024-01-05 08:30:00+01:00,213.09,0.0
2024-01-05 08:45:00+01:00,489.51,0.0
2024-01-05 09:00:00+01:00,859.33,0.0
2024-01-05 09:15:00+01:00,1336.04,0.0
2024-01-05 09:30:00+01:00,1990.58,0.0
2024-01-05 09:45:00+01:00,2655.82,0.0
2024-01-05 10:00:00+01:00,3222.95,0.0
2024-01-05 10:15:00+01:00,3790.63,0.0
2024-01-05 10:30:00+01:00,4393.73,0.0
2024-01-05 10:45:00+01:00,4985.81,0.0
2024-01-05 11:00:00+01:00,5384.28,0.0
2024-01-05 11:15:00+01:00,5659.7,0.0
2024-01-05 11:30:00+01:00,5811.52,0.0
2024-01-05 11:45:00+01:00,5879.47,0.0
2024-01-05 12:00:00+01:00,5852.81,0.0
2024-01-05 12:15:00+01:00,5805.21,0.0
2024-01-05 12:30:00+01:00,5684.42,0.0
2024-01-05 12:45:00+01:00,5341.98,0.0
2024-01-05 13:00:00+01:00,4928.73,0.0
2024-01-05 13:15:00+01:00,4541.29,0.0
2024-01-05 13:30:00+01:00,4222.26,0.0
2024-01-05 13:45:00+01:00,3868.53,0.0
2024-01-05 14:00:00+01:00,3475.7,0.0
2024-01-05 14:15:00+01:00,2996.92,0.0
2024-01-05 14:30:00+01:00,2615.11,0.0
2024-01-05 14:45:00+01:00,2215.92,0.0
2024-01-05 15:00:00+01:00,1750.8,0.0
2024-01-05 15:15:00+01:00,1313.44,0.0
2024-01-05 15:30:00+01:00,895.47,0.0
2024-01-05 15:45:00+01:00,537.31,0.0
2024-01-05 16:00:00+01:00,246.61,0.0
2024-01-05 16:15:00+01:00,77.73,0.0
2024-01-05 16:30:00+01:00,18.39,0.0
2024-01-05 16:45:00+01:00,10.27,0.0
2024-01-05 17:00:00+01:00,3.85,0.0
2024-01-05 17:15:00+01:00,3.53,0.0
2024-01-05 17:30:00+01:00,7.29,0.0
2024-01-05 17:45:00+01:00,3.45,0.0
2024-01-05 18:00:00+01:00,4.23,0.0
2024-01-05 18:15:00+01:00,6.53,0.0
2024-01-05 18:30:00+01:00,7.5,0.0
2024-01-05 18:45:00+01:00,3.8,0.0
2024-01-05 19:00:00+01:00,9.68,0.0
2024-01-05 19:15:00+01:00,3.09,0.0
2024-01-05 19:30:00+01:00,2.78,0.0
2024-01-05 19:45:00+01:00,2.79,0.0
2024-01-05 20:00:00+01:00,6.55,0.0
2024-01-05 20:15:00+01:00,2.68,0.0
2024-01-05 20:30:00+01:00,2.49,0.0
2024-01-05 20:45:00+01:00,2.51,0.0
2024-01-05 21:00:00+01:00,3.32,0.0
2024-01-05 21:15:00+01:00,2.68,0.0
2024-01-05 21:30:00+01:00,2.66,0.0
2024-01-05 21:45:00+01:00,2.65,0.0
2024-01-05 22:00:00+01:00,6.63,0.0
2024-01-05 22:15:00+01:00,2.62,0.0
2024-01-05 22:30:00+01:00,2.61,0.0
2024-01-05 22:45:00+01:00,2.77,0.0
2024-01-05 23:00:00+01:00,3.41,0.0
2024-01-05 23:15:00+01:00,3.36,0.0
2024-01-05 23:30:00+01:00,2.68,0.0
2024-01-05 23:45:00+01:00,2.7,0.0
2024-01-06 00:00:00+01:00,3.35,0.0
2024-01-06 00:15:00+01:00,3.43,0.0
2024-01-06 00:30:00+01:00,2.55,0.0
2024-01-06 00:45:00+01:00,2.54,0.0
2024-01-06 01:00:00+01:00,2.98,0.0
2024-01-06 01:15:00+01:00,2.52,0.0
2024-01-06 01:30:00+01:00,2.78,0.0
2024-01-06 01:45:00+01:00,2.86,0.0
2024-01-06 02:00:00+01:00,2.83,0.0
2024-01-06 02:15:00+01:00,2.72,0.0
2024-01-06 02:30:00+01:00,2.78,0.0
2024-01-06 02:45:00+01:00,2.67,0.0
2024-01-06 03:00:00+01:00,2.56,0.0
2024-01-06 03:15:00+01:00,2.65,0.0
2024-01-06 03:30:00+01:00,2.7,0.0
2024-01-06 03:45:00+01:00,2.77,0.0
2024-01-06 04:00:00+01:00,2.66,0.0
2024-01-06 04:15:00+01:00,3.13,0.0
2024-01-06 04:30:00+01:00,2.78,0.0
2024-01-06 04:45:00+01:00,2.86,0.0
2024-01-06 05:00:00+01:00,2.77,0.0
2024-01-06 05:15:00+01:00,2.75,0.0
2024-01-06 05:30:00+01:00,2.79,0.0
2024-01-06 05:45:00+01:00,2.7,0.0
2024-01-06 06:00:00+01:00,2.63,0.0
2024-01-06 06:15:00+01:00,2.72,0.0
2024-01-06 06:30:00+01:00,3.52,0.0
2024-01-06 06:45:00+01:00,3.17,0.0
2024-01-06 07:00:00+01:00,2.83,0.0
2024-01-06 07:15:00+01:00,2.95,0.0
2024-01-06 07:30:00+01:00,3.78,0.0
2024-01-06 07:45:00+01:00,3.91,0.0
2024-01-06 08:00:00+01:00,4.24,0.0
2024-01-06 08:15:00+01:00,20.63,0.0
2024-01-06 08:30:00+01:00,114.31,0.0
2024-01-06 08:45:00+01:00,299.18,0.0
2024-01-06 09:00:00+01:00,559.13,0.0
2024-01-06 09:15:00+01:00,876.89,0.0
2024-01-06 09:30:00+01:00,1201.26,0.0
2024-01-06 09:45:00+01:00,1532.49,0.0
2024-01-06 10:00:00+01:00,1823.3,0.0
2024-01-06 10:15:00+01:00,2073.66,0.0
2024-01-06 10:30:00+01:00,2279.64,0.0
2024-01-06 10:45:00+01:00,2448.91,0.0
2024-01-06 11:00:00+01:00,2631.32,0.0
2024-01-06 11:15:00+01:00,2752.13,0.0
2024-01-06 11:30:00+01:00,2843.77,0.0
2024-01-06 11:45:00+01:00,2901.5,0.0
2024-01-06 12:00:00+01:00,2916.89,0.0
2024-01-06 12:15:00+01:00,2945.62,0.0
2024-01-06 12:30:00+01:00,2918.66,0.0
2024-01-06 12:45:00+01:00,2798.61,0.0
2024-01-06 13:00:00+01:00,2658.18,0.0
2024-01-06 13:15:00+01:00,2448.73,0.0
2024-01-06 13:30:00+01:00,2242.98,0.0
2024-01-06 13:45:00+01:00,2017.89,0.0
2024-01-06 14:00:00+01:00,1787.25,0.0
2024-01-06 14:15:00+01:00,1545.94,0.0
2024-01-06 14:30:00+01:00,1307.48,0.0
2024-01-06 14:45:00+01:00,1060.29,0.0
2024-01-06 15:00:00+01:00,810.03,0.0
2024-01-06 15:15:00+01:00,573.07,0.0
2024-01-06 15:30:00+01:00,357.38,0.0
2024-01-06 15:45:00+01:00,183.45,0.0
2024-01-06 16:00:00+01:00,64.6,0.0
2024-01-06 16:15:00+01:00,14.65,0.0
2024-01-06 16:30:00+01:00,6.06,0.0
2024-01-06 16:45:00+01:00,6.3,0.0
2024-01-06 17:00:00+01:00,3.59,0.0
2024-01-06 17:15:00+01:00,3.48,0.0
2024-01-06 17:30:00+01:00,4.87,0.0
2024-01-06 17:45:00+01:00,3.35,0.0
